center,sigma,amplitude,ecenter,esigma,eamplitude,base_on_line,value_on_line,noise_on_block,snr_peak,snr_area,relative_power,area,earea,ew,cluster_probability
,,,,,,0.24297263110432735,0.2986584308916407,0.05371920495190932,,,0.10281131141575457,,,,0.79
,,,,,,0.23173803756809563,0.2549396640103535,0.05042742447032383,,,0.04767349390984565,,,,0.79
,,,,,,0.19070129252259332,0.200386062953728,0.04549119538328203,,,0.024763701243521886,,,,0.79
,,,,,,0.15629276842804643,0.2182394082470827,0.045425408546436216,,,0.16539737752030065,,,,0.79
,,,,,,0.1250515577880294,0.1677239493207172,0.03697774855035213,,,0.14575123429583153,,,,0.79
,,,,,,0.10568080951512566,0.1529950471327884,0.03678360068221853,,,0.1829093686236924,,,,0.79
,,,,,,0.07448424608273395,0.1368500507938348,0.0293339057334493,,,0.2951049859527819,,,,0.79
,,,,,,0.05840744646347154,0.1320210488702219,0.02645422578769535,,,0.3865682091209883,,,,0.79
,,,,,,0.05648784243325706,0.1587761126614972,0.026726431871772083,,,0.47517602370176276,,,,0.79
,,,,,,0.04947709992910698,0.0582972738319735,0.02188109236119318,,,0.0818392498611916,,,,0.0
,,,,,,0.03227339803152937,0.0446919175913443,0.018861327138428897,,,0.16135215530934832,,,,0.79
,,,,,,0.027778783887127272,0.0360913838203555,0.016141857138852425,,,0.13014839684309082,,,,0.79
,,,,,,0.026037934853931976,0.0446912022687681,0.01576168615127545,,,0.263728191430876,,,,0.79
,,,,,,0.026037934853931976,0.0446912022687681,0.01402946958198012,,,0.263728191430876,,,,0.0
,,,,,,0.02367869664391881,0.0432913133777568,0.01437678811350355,,,0.2928567089580865,,,,0.79
